001 | H1 | L7 | GERA | processo 'navegador' gera a mensagem                                             42 B
002 | H1 | L6 | CODIFICA | texto em 42 octetos UTF-8 cifrado com XOR 0x5a; tamanho inalterado           42 B
003 | H1 | L5 | ABRE | sessao S-0001 aberta, uma unica vez, antes da segmentacao                        46 B
004 | H1 | L4 | SEGMENTA | segmento 1 de 1: porta 5210 -> 443                                           54 B
005 | H1 | L3 | ENCAPSULA | pacote H1-P1: 10.0.1.10 -> 10.0.3.10                                        74 B
006 | H1 | L3 | ROTEIA | 10.0.3.10 fora da rede local: entrega indireta via R1, interface eth0          74 B
007 | H1 | L2 | ENQUADRA | pacote H1-P1, quadro Q1 para R1: AA:00:00:00:01:0A -> BB:00:00:00:01:00; soma 0x00003efe 92 B
008 | H1 | L1 | TRANSMITE | pacote H1-P1, quadro Q1 convertido em 736 bits e transmitido                92 B
009 | R1 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q1                    92 B
010 | R1 | L2 | DESENQUADRA | pacote H1-P1, quadro Q1 de AA:00:00:00:01:0A conferido e descartado       74 B
011 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4, custo 2, interface e1                                      74 B
012 | R1 | L2 | ENQUADRA | pacote H1-P1, quadro Q2 para R4: BB:00:00:00:01:01 -> BB:00:00:00:04:00; soma 0x00003ef3 92 B
013 | R1 | L1 | TRANSMITE | pacote H1-P1, quadro Q2 convertido em 736 bits e transmitido                92 B
014 | R4 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q2                    92 B
015 | R4 | L2 | DESENQUADRA | pacote H1-P1, quadro Q2 de BB:00:00:00:01:01 conferido e descartado       74 B
016 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3, custo 1, interface e1                                      74 B
017 | R4 | L2 | ENQUADRA | pacote H1-P1, quadro Q3 para R3: BB:00:00:00:04:01 -> BB:00:00:00:03:00; soma 0x00003ef5 92 B
018 | R4 | L1 | TRANSMITE | pacote H1-P1, quadro Q3 convertido em 736 bits e transmitido                92 B
019 | R3 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q3                    92 B
020 | R3 | L2 | DESCARTA | pacote H1-P1, quadro Q3: soma recebida 0x00003ef5 difere da calculada 0x00003f75; quadro descartado 92 B
