001 | H1 | L7 | GERA | processo 'navegador' gera a mensagem                                             42 B
002 | H1 | L6 | CODIFICA | texto em 42 octetos UTF-8 cifrado com XOR 0x5a; tamanho inalterado           42 B
003 | H1 | L5 | ABRE | sessao S-0001 aberta, uma unica vez, antes da segmentacao                        46 B
004 | H1 | L4 | SEGMENTA | segmento 1 de 1: porta 5210 -> 443                                           54 B
005 | H1 | L3 | ENCAPSULA | pacote H1-P1: 10.0.1.10 -> 10.0.3.10                                        74 B
006 | H1 | L3 | ROTEIA | 10.0.3.10 fora da rede local: entrega indireta via R1, interface eth0          74 B
007 | H1 | L2 | ENQUADRA | pacote H1-P1, quadro Q1 para R1: AA:00:00:00:01:0A -> BB:00:00:00:01:00; soma 0x00003efe 92 B
008 | H1 | L1 | TRANSMITE | pacote H1-P1, quadro Q1 convertido em 736 bits e transmitido                92 B
009 | H2 | L7 | GERA | processo 'navegador' gera a mensagem                                             42 B
010 | H2 | L6 | CODIFICA | texto em 42 octetos UTF-8 cifrado com XOR 0x5a; tamanho inalterado           42 B
011 | H2 | L5 | ABRE | sessao S-0002 aberta, uma unica vez, antes da segmentacao                        46 B
012 | H2 | L4 | SEGMENTA | segmento 1 de 1: porta 6120 -> 443                                           54 B
013 | H2 | L3 | ENCAPSULA | pacote H2-P1: 10.0.1.11 -> 10.0.3.10                                        74 B
014 | H2 | L3 | ROTEIA | 10.0.3.10 fora da rede local: entrega indireta via R1, interface eth0          74 B
015 | H2 | L2 | ENQUADRA | pacote H2-P1, quadro Q1 para R1: AA:00:00:00:01:0B -> BB:00:00:00:01:00; soma 0x00003eff 92 B
016 | H2 | L1 | TRANSMITE | pacote H2-P1, quadro Q1 convertido em 736 bits e transmitido                92 B
017 | R1 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q1                    92 B
018 | R1 | L2 | DESENQUADRA | pacote H1-P1, quadro Q1 de AA:00:00:00:01:0A conferido e descartado       74 B
019 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4, custo 2, interface e1                                      74 B
020 | R1 | L2 | ENQUADRA | pacote H1-P1, quadro Q2 para R4: BB:00:00:00:01:01 -> BB:00:00:00:04:00; soma 0x00003ef3 92 B
021 | R1 | L1 | TRANSMITE | pacote H1-P1, quadro Q2 convertido em 736 bits e transmitido                92 B
022 | R1 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H2-P1, quadro Q1                    92 B
023 | R1 | L2 | DESENQUADRA | pacote H2-P1, quadro Q1 de AA:00:00:00:01:0B conferido e descartado       74 B
024 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4, custo 2, interface e1                                      74 B
025 | R1 | L2 | ENQUADRA | pacote H2-P1, quadro Q2 para R4: BB:00:00:00:01:01 -> BB:00:00:00:04:00; soma 0x00003ef3 92 B
026 | R1 | L1 | TRANSMITE | pacote H2-P1, quadro Q2 convertido em 736 bits e transmitido                92 B
027 | R4 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q2                    92 B
028 | R4 | L2 | DESENQUADRA | pacote H1-P1, quadro Q2 de BB:00:00:00:01:01 conferido e descartado       74 B
029 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3, custo 1, interface e1                                      74 B
030 | R4 | L2 | ENQUADRA | pacote H1-P1, quadro Q3 para R3: BB:00:00:00:04:01 -> BB:00:00:00:03:00; soma 0x00003ef5 92 B
031 | R4 | L1 | TRANSMITE | pacote H1-P1, quadro Q3 convertido em 736 bits e transmitido                92 B
032 | R4 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H2-P1, quadro Q2                    92 B
033 | R4 | L2 | DESENQUADRA | pacote H2-P1, quadro Q2 de BB:00:00:00:01:01 conferido e descartado       74 B
034 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3, custo 1, interface e1                                      74 B
035 | R4 | L2 | ENQUADRA | pacote H2-P1, quadro Q3 para R3: BB:00:00:00:04:01 -> BB:00:00:00:03:00; soma 0x00003ef5 92 B
036 | R4 | L1 | TRANSMITE | pacote H2-P1, quadro Q3 convertido em 736 bits e transmitido                92 B
037 | R3 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q3                    92 B
038 | R3 | L2 | DESENQUADRA | pacote H1-P1, quadro Q3 de BB:00:00:00:04:01 conferido e descartado       74 B
039 | R3 | L3 | ROTEIA | entrega direta a H4 pela interface e2                                          74 B
040 | R3 | L2 | ENQUADRA | pacote H1-P1, quadro Q4 para H4: BB:00:00:00:03:02 -> AA:00:00:00:03:0A; soma 0x00003f04 92 B
041 | R3 | L1 | TRANSMITE | pacote H1-P1, quadro Q4 convertido em 736 bits e transmitido                92 B
042 | R3 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H2-P1, quadro Q3                    92 B
043 | R3 | L2 | DESENQUADRA | pacote H2-P1, quadro Q3 de BB:00:00:00:04:01 conferido e descartado       74 B
044 | R3 | L3 | ROTEIA | entrega direta a H4 pela interface e2                                          74 B
045 | R3 | L2 | ENQUADRA | pacote H2-P1, quadro Q4 para H4: BB:00:00:00:03:02 -> AA:00:00:00:03:0A; soma 0x00003f04 92 B
046 | R3 | L1 | TRANSMITE | pacote H2-P1, quadro Q4 convertido em 736 bits e transmitido                92 B
047 | H4 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H1-P1, quadro Q4                    92 B
048 | H4 | L2 | DESENQUADRA | pacote H1-P1, quadro Q4 de BB:00:00:00:03:02 conferido e descartado       74 B
049 | H4 | L3 | ENTREGA | pacote H1-P1 destinado a 10.0.3.10; entregue a camada 4                       54 B
050 | H4 | L4 | REMONTA | 1 segmento(s) do fluxo 5210 -> 443 remontado(s) em ordem; porta 443 -> 'servidorWeb' 46 B
051 | H4 | L5 | ENTREGA | sessao S-0001 reconhecida; mensagem entregue a camada 6                       42 B
052 | H4 | L6 | DECIFRA | 42 octetos decifrados com XOR e convertidos em texto                          42 B
053 | H4 | L7 | ENTREGA | mensagem entregue ao processo 'servidorWeb': 'Ola H4, aqui e o H1 testando a pilha OSI!!' 42 B
054 | H4 | L1 | RECEBE | 736 bits recebidos e reagrupados no pacote H2-P1, quadro Q4                    92 B
055 | H4 | L2 | DESENQUADRA | pacote H2-P1, quadro Q4 de BB:00:00:00:03:02 conferido e descartado       74 B
056 | H4 | L3 | ENTREGA | pacote H2-P1 destinado a 10.0.3.10; entregue a camada 4                       54 B
057 | H4 | L4 | REMONTA | 1 segmento(s) do fluxo 6120 -> 443 remontado(s) em ordem; porta 443 -> 'servidorWeb' 46 B
058 | H4 | L5 | ENTREGA | sessao S-0002 reconhecida; mensagem entregue a camada 6                       42 B
059 | H4 | L6 | DECIFRA | 42 octetos decifrados com XOR e convertidos em texto                          42 B
060 | H4 | L7 | ENTREGA | mensagem entregue ao processo 'servidorWeb': 'Ola H4, aqui e o H2 testando a pilha OSI!!' 42 B
