001 | H1 | L7 | GERA | processo navegador, destino servidorWeb                     42 B
002 | H1 | L6 | CODIFICA | octetos UTF-8, conteúdo cifrado                         42 B
003 | H1 | L5 | ABRE | sessão S-0001 estabelecida                                  46 B
004 | H1 | L4 | SEGMENTA | porta 5210 → 443, segmento 1 de 1                       54 B
005 | H1 | L3 | ENCAPSULA | 10.0.1.10 → 10.0.3.10                                  74 B
006 | H1 | L3 | ROTEIA | próximo salto 10.0.1.1 pela interface eth0                74 B
007 | H1 | L2 | ENQUADRA | AA:...:01:0A → BB:...:01:00, quadro Q1                  92 B
008 | H1 | L1 | TRANSMITE | 736 bits no enlace H1-R1                               92 B
009 | R1 | L1 | RECEBE | 736 bits do enlace H1-R1                                  92 B
010 | R1 | L2 | DESENQUADRA | verificação de erro correta, quadro Q1 descartado    74 B
011 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4, custo 2, interface e1                 74 B
012 | R1 | L2 | ENQUADRA | BB:...:01:01 → BB:...:04:00, quadro Q2                  92 B
013 | R1 | L1 | TRANSMITE | 736 bits no enlace R1-R4                               92 B
014 | R4 | L1 | RECEBE | 736 bits do enlace R1-R4                                  92 B
015 | R4 | L2 | DESENQUADRA | verificação de erro correta, quadro Q2 descartado    74 B
016 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3, custo 1, interface e1                 74 B
017 | R4 | L2 | ENQUADRA | BB:...:04:01 → BB:...:03:00, quadro Q3                  92 B
018 | R4 | L1 | TRANSMITE | 736 bits no enlace R4-R3                               92 B
019 | R3 | L1 | RECEBE | 736 bits do enlace R4-R3                                  92 B
020 | R3 | L2 | DESENQUADRA | verificação de erro correta, quadro Q3 descartado    74 B
021 | R3 | L3 | ROTEIA | 10.0.3.0/24 entrega direta, interface e2                  74 B
022 | R3 | L2 | ENQUADRA | BB:...:03:02 → AA:...:03:0A, quadro Q4                  92 B
023 | R3 | L1 | TRANSMITE | 736 bits no enlace R3-H4                               92 B
024 | H4 | L1 | RECEBE | 736 bits do enlace R3-H4                                  92 B
025 | H4 | L2 | DESENQUADRA | verificação de erro correta, quadro Q4 descartado    74 B
026 | H4 | L3 | DESENCAPSULA | 10.0.1.10 → 10.0.3.10, chegou ao destino            54 B
027 | H4 | L4 | DEMULTIPLEXA | porta 5210 → 443, entregue à sessão                 46 B
028 | H4 | L5 | MANTEM | sessão S-0001 mantida                                     42 B
029 | H4 | L6 | DECODIFICA | conteúdo decifrado, octetos UTF-8                     42 B
030 | H4 | L7 | ENTREGA | processo servidorWeb recebeu a mensagem                  42 B
031 | H4 | L5 | ENCERRA | sessão S-0001 encerrada                                  42 B
032 | H2 | L7 | GERA | processo navegador, destino servidorWeb                     42 B
033 | H2 | L6 | CODIFICA | octetos UTF-8, conteúdo cifrado                         42 B
034 | H2 | L5 | ABRE | sessão S-0002 estabelecida                                  46 B
035 | H2 | L4 | SEGMENTA | porta 6120 → 443, segmento 1 de 1                       54 B
036 | H2 | L3 | ENCAPSULA | 10.0.1.11 → 10.0.3.10                                  74 B
037 | H2 | L3 | ROTEIA | próximo salto 10.0.1.1 pela interface eth0                74 B
038 | H2 | L2 | ENQUADRA | AA:...:01:0B → BB:...:01:00, quadro Q5                  92 B
039 | H2 | L1 | TRANSMITE | 736 bits no enlace H2-R1                               92 B
040 | R1 | L1 | RECEBE | 736 bits do enlace H2-R1                                  92 B
041 | R1 | L2 | DESENQUADRA | verificação de erro correta, quadro Q5 descartado    74 B
042 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4, custo 2, interface e1                 74 B
043 | R1 | L2 | ENQUADRA | BB:...:01:01 → BB:...:04:00, quadro Q6                  92 B
044 | R1 | L1 | TRANSMITE | 736 bits no enlace R1-R4                               92 B
045 | R4 | L1 | RECEBE | 736 bits do enlace R1-R4                                  92 B
046 | R4 | L2 | DESENQUADRA | verificação de erro correta, quadro Q6 descartado    74 B
047 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3, custo 1, interface e1                 74 B
048 | R4 | L2 | ENQUADRA | BB:...:04:01 → BB:...:03:00, quadro Q7                  92 B
049 | R4 | L1 | TRANSMITE | 736 bits no enlace R4-R3                               92 B
050 | R3 | L1 | RECEBE | 736 bits do enlace R4-R3                                  92 B
051 | R3 | L2 | DESENQUADRA | verificação de erro correta, quadro Q7 descartado    74 B
052 | R3 | L3 | ROTEIA | 10.0.3.0/24 entrega direta, interface e2                  74 B
053 | R3 | L2 | ENQUADRA | BB:...:03:02 → AA:...:03:0A, quadro Q8                  92 B
054 | R3 | L1 | TRANSMITE | 736 bits no enlace R3-H4                               92 B
055 | H4 | L1 | RECEBE | 736 bits do enlace R3-H4                                  92 B
056 | H4 | L2 | DESENQUADRA | verificação de erro correta, quadro Q8 descartado    74 B
057 | H4 | L3 | DESENCAPSULA | 10.0.1.11 → 10.0.3.10, chegou ao destino            54 B
058 | H4 | L4 | DEMULTIPLEXA | porta 6120 → 443, entregue à sessão                 46 B
059 | H4 | L5 | MANTEM | sessão S-0002 mantida                                     42 B
060 | H4 | L6 | DECODIFICA | conteúdo decifrado, octetos UTF-8                     42 B
061 | H4 | L7 | ENTREGA | processo servidorWeb recebeu a mensagem                  42 B
062 | H4 | L5 | ENCERRA | sessão S-0002 encerrada                                  42 B
--- | SISTEMA | -- | RESULTADO | Dados entregues: 84 B, Quadros: 8, Transmitidos: 736 B, Eficiência: 11.4%, Sobrecarga: 88.6%
